МЕТРИКИ КАЧЕСТВА МОДЕЛИ
==================================================

ОСНОВНЫЕ МЕТРИКИ:
Accuracy: 0.9140 (91.40%)
Precision (macro): 0.9228
Recall (macro): 0.9136
F1-Score (macro): 0.9023
Precision (weighted): 0.9229
Recall (weighted): 0.9140
F1-Score (weighted): 0.9027

МЕТРИКИ ПО КЛАССАМ:
Класс		Precision	Recall		F1-Score	Support		Correct
--------------------------------------------------------------------------------
110		1.0000		1.0000		1.0000		20		20
130		1.0000		1.0000		1.0000		20		20
150		1.0000		1.0000		1.0000		20		20
170		0.6667		0.2000		0.3077		20		4
190		0.5294		0.9000		0.6667		20		18
210		1.0000		1.0000		1.0000		20		20
230		1.0000		0.9500		0.9744		20		19
250		0.9545		1.0000		0.9767		21		21
50		1.0000		1.0000		1.0000		20		20
70		1.0000		1.0000		1.0000		20		20
90		1.0000		1.0000		1.0000		20		20
